"table_name","pk","column_name","column_type","max_length","remarks"
"T_TIMER_INFORMATION","1","timer_id","character varying","36","タイマーID"
"T_TIMER_INFORMATION","2","set_count","integer",,"セット数"
"T_TIMER_INFORMATION",,"total_sets","integer",,"トータルセット数"
"T_TIMER_INFORMATION",,"start_worktime_datatime","timestamp","0","作業開始日時分秒"
"T_TIMER_INFORMATION",,"end_worktime_datatime","timestamp","0","作業終了日時分秒"
"T_TIMER_INFORMATION",,"end_breaktime_datatime","timestamp","0","作業終了日時分秒"
"T_TIMER_INFORMATION",,"status_type_code","character varying","1","ステータス"
"T_TIMER_INFORMATION",,"insert_datatime","timestamp","0","登録日時分秒"
"T_TIMER_INFORMATION",,"insert_function","character varying","50","登録機能"
"T_TIMER_INFORMATION",,"update_datatime","timestamp","0","更新日時分秒"
"T_TIMER_INFORMATION",,"update_function","character varying","50","更新機能"
"T_TIMER_INFORMATION",,"update_count","integer",,"更新回数"
